year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,PHL,Philippines,PH,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA SIBUGAY,PH098300000,350229,365657,715886,39481,37888,35320,34200,31625,30386,29093,22293,17926,15367,14384,12738,10382,8022,5261,3181,2682,41773,40054,37342,35275,33098,32160,30873,24074,19181,16918,14893,13106,10405,7522,4783,2501,1699,81254,77942,72662,69475,64723,62546,59966,46367,37107,32285,29277,25844,20787,15544,10044,5682,4381
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Albay,PH050500000,719117,740257,1459374,74693,72106,67883,65493,63790,62059,56618,43416,36694,33842,30657,28642,24427,20433,15610,11475,11279,79005,76227,71724,70203,68163,66682,61323,46964,39128,35142,30782,28374,23157,17481,12313,7729,5860,153698,148333,139607,135696,131953,128741,117941,90380,75822,68984,61439,57016,47584,37914,27923,19204,17139
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Camarines Norte,PH051600000,319800,333524,653324,36443,33972,31431,31303,29198,28451,23740,18095,15354,14211,13060,12420,10197,8085,5929,4079,3832,38547,35656,33042,31593,32338,31678,26247,20279,15930,14947,13392,12619,9992,7574,4798,2847,2045,74990,69628,64473,62896,61536,60129,49987,38374,31284,29158,26452,25039,20189,15659,10727,6926,5877
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Camarines Sur,PH051700000,1050761,1092348,2143109,122804,115384,106320,99777,96159,91196,78102,59852,49702,46081,41124,37927,32075,26472,19944,14211,13631,129951,122061,112490,105803,102992,97889,86332,67146,53853,48400,41552,37439,30555,23236,15821,9436,7392,252755,237445,218810,205580,199151,189085,164434,126998,103555,94481,82676,75366,62630,49708,35765,23647,21023
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Catanduanes,PH052000000,137701,144615,282316,17061,15792,14249,12501,12297,12311,10394,7393,6111,5636,5166,4947,4138,3218,2477,1854,2156,18051,16632,15004,13320,13578,13550,11877,8376,6624,5933,5324,5037,4052,2988,1940,1209,1120,35112,32424,29253,25821,25875,25861,22271,15769,12735,11569,10490,9984,8190,6206,4417,3063,3276
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Masbate,PH054100000,474801,497414,972215,59379,53286,47161,50875,46486,44412,33874,23083,19428,18777,17862,16096,13511,11124,8115,5415,5917,62836,56382,49962,53740,50362,48259,38831,25872,21307,19740,18292,15996,12912,9832,6380,3621,3090,122215,109668,97123,104615,96848,92671,72705,48955,40735,38517,36154,32092,26423,20956,14495,9036,9007
2025,PHL,Philippines,PH,REGION V (BICOL REGION),PH050000000,Sorsogon,PH056200000,435779,451573,887352,53644,49789,45135,40414,38609,38813,32509,22337,19063,18438,17313,16113,13359,10586,7825,5806,6026,56757,52656,47705,40790,41439,41728,36431,25099,20089,19407,17512,16148,12980,9511,6228,3858,3235,110401,102445,92840,81204,80048,80541,68940,47436,39152,37845,34825,32261,26339,20097,14053,9664,9261
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Aklan,PH060400000,310303,319019,629322,29347,29245,28233,27232,25574,25805,25381,21695,18332,15623,13668,12704,10938,9153,6800,5025,5548,31069,31017,30031,27390,27762,28495,27308,22958,19429,16705,14102,12732,10201,7845,5529,3486,2960,60416,60262,58264,54622,53336,54300,52689,44653,37761,32328,27770,25436,21139,16998,12329,8511,8508
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Antique,PH060600000,311328,324895,636223,34320,34898,34121,25792,22787,24865,24095,20764,16803,13864,12215,11934,10424,8390,6300,4578,5178,36331,35939,33958,27223,26040,27039,26975,22753,18175,15776,13772,12019,10203,7704,5111,2998,2879,70651,70837,68079,53015,48827,51904,51070,43517,34978,29640,25987,23953,20627,16094,11411,7576,8057
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Capiz,PH061900000,420000,428721,848721,35859,35302,33653,37259,36250,37547,36018,28168,23566,21365,19657,18913,16596,13959,10763,7298,7827,37952,37466,35815,37544,38139,39946,38708,30935,25723,22879,20291,18403,15852,11902,8333,4748,4085,73811,72768,69468,74803,74389,77493,74726,59103,49289,44244,39948,37316,32448,25861,19096,12046,11912
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Guimaras,PH067900000,94260,99062,193322,8490,8476,8243,8388,7741,7822,7673,6492,5702,4896,4434,4047,3591,2948,2191,1488,1638,8983,9020,8806,8774,8314,8571,8268,7479,6332,5510,4775,4181,3521,2715,1830,1045,938,17473,17496,17049,17162,16055,16393,15941,13971,12034,10406,9209,8228,7112,5663,4021,2533,2576
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Iloilo,PH063000000,1304279,1327256,2631535,110998,112490,111169,114162,106926,104035,103965,92734,79475,69819,61799,58346,51622,43307,33194,23868,26370,117503,119251,118089,120791,113818,111453,108865,98784,84197,73843,63490,57179,48224,37273,25616,15379,13501,228501,231741,229258,234953,220744,215488,212830,191518,163672,143662,125289,115525,99846,80580,58810,39247,39871
2025,PHL,Philippines,PH,REGION VI (WESTERN VISAYAS),PH060000000,Negros Occidental,PH064500000,1602506,1660070,3262576,153221,151313,145473,145053,136248,133748,131000,103556,86020,77924,74276,68403,59922,50041,37276,24050,24982,162181,160447,154723,153868,145803,144497,141145,115507,94692,84085,74898,68264,57061,43128,29694,16417,13660,315402,311760,300196,298921,282051,278245,272145,219063,180712,162009,149174,136667,116983,93169,66970,40467,38642
2025,PHL,Philippines,PH,REGION VII (CENTRAL VISAYAS),PH070000000,Bohol,PH071200000,687792,717429,1405221,73227,71858,69278,60269,57839,55386,50023,40825,35071,32067,30410,27945,24689,20205,15021,11077,12602,77502,76007,73273,65070,64208,60873,56161,44915,36931,33758,31371,27974,23360,18213,12269,8003,7541,150729,147865,142551,125339,122047,116259,106184,85740,72002,65825,61781,55919,48049,38418,27290,19080,20143
2025,PHL,Philippines,PH,REGION VII (CENTRAL VISAYAS),PH070000000,Cebu,PH072200000,2693547,2743285,5436832,240663,246978,247070,234633,226818,215246,219291,197051,172491,151479,130672,113367,95900,75992,56371,36166,33359,254617,261169,260799,247222,242773,229754,225355,200275,176026,153964,131390,111554,90833,67394,45225,25763,19172,495280,508147,507869,481855,469591,445000,444646,397326,348517,305443,262062,224921,186733,143386,101596,61929,52531
2025,PHL,Philippines,PH,REGION VII (CENTRAL VISAYAS),PH070000000,Negros Oriental,PH074600000,709084,736702,1445786,68829,67178,64203,66033,61166,62386,57895,43056,36442,33759,32341,30188,27237,21879,16401,10078,10013,72818,71041,67791,66587,66123,68005,65063,48257,39549,35766,32662,29759,26168,19833,13860,7460,5960,141647,138219,131994,132620,127289,130391,122958,91313,75991,69525,65003,59947,53405,41712,30261,17538,15973
2025,PHL,Philippines,PH,REGION VII (CENTRAL VISAYAS),PH070000000,Siquijor,PH076100000,51018,52850,103868,4712,4895,4858,4096,3811,3978,4028,3234,2877,2621,2489,2246,2051,1703,1354,955,1110,4989,5225,5156,4266,4133,4200,4407,3731,3173,2842,2582,2276,1949,1520,1078,674,649,9701,10120,10014,8362,7944,8178,8435,6965,6050,5463,5071,4522,4000,3223,2432,1629,1759
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Biliran,PH087800000,90263,95126,185389,10202,9493,8423,8069,7930,8847,7181,5283,4235,3953,3603,3411,2878,2341,1730,1303,1381,10787,10154,9044,9001,8430,9132,8581,5888,4570,4047,3810,3399,2853,2162,1482,982,804,20989,19647,17467,17070,16360,17979,15762,11171,8805,8000,7413,6810,5731,4503,3212,2285,2185
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Eastern Samar,PH082600000,263346,280493,543839,31359,29428,26359,23966,23186,24189,20118,14411,11842,11165,10467,9597,8104,6671,4724,3614,4146,33164,31059,27845,25475,25428,26343,23420,16739,13385,12072,11235,9979,8321,6281,4226,2899,2622,64523,60487,54204,49441,48614,50532,43538,31150,25227,23237,21702,19576,16425,12952,8950,6513,6768
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Leyte,PH083700000,1120820,1177551,2298371,118739,114127,106568,106195,97957,98375,87160,66245,55971,51258,47105,44056,38245,32144,23458,16462,16755,125591,120462,112284,111290,105089,106986,98263,74701,61587,55358,49550,45070,38825,30596,20378,12238,9283,244330,234589,218852,217485,203046,205361,185423,140946,117558,106616,96655,89126,77070,62740,43836,28700,26038
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Northern Samar,PH084800000,340854,356808,697662,43807,39834,34986,32697,32430,32110,25549,17901,14380,13468,12909,11114,9281,7239,5263,3931,3955,46312,42031,36885,34318,34499,34547,28524,20011,15739,14038,13089,11293,8906,6703,4550,2931,2432,90119,81865,71871,67015,66929,66657,54073,37912,30119,27506,25998,22407,18187,13942,9813,6862,6387
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Samar (Western Samar),PH086000000,414124,440753,854877,51019,46913,41874,39692,38524,38420,30678,21340,18031,17135,16538,14851,11923,9670,6877,5288,5351,53954,49467,44136,41988,41947,42243,35965,24657,19866,18319,17743,15562,12257,9259,6165,3858,3367,104973,96380,86010,81680,80471,80663,66643,45997,37897,35454,34281,30413,24180,18929,13042,9146,8718
2025,PHL,Philippines,PH,REGION VIII (EASTERN VISAYAS),PH080000000,Southern Leyte,PH086400000,229897,239191,469088,23362,22765,21528,19669,19285,19624,17434,13646,11656,11175,10036,10025,8805,7152,5283,3997,4455,24717,24038,22719,20624,20652,21145,19657,15289,12322,11729,10611,9948,8663,6690,4563,3085,2739,48079,46803,44247,40293,39937,40769,37091,28935,23978,22904,20647,19973,17468,13842,9846,7082,7194
2025,PHL,Philippines,PH,REGION X (NORTHERN MINDANAO),PH100000000,Bukidnon,PH101300000,765789,818457,1584246,73885,73501,70464,76159,68218,63946,64862,54293,43764,38877,34497,30192,25093,19948,13362,7740,6988,78159,75502,71623,79092,78551,76163,73502,61730,48362,42520,36219,31316,24737,18584,11791,6158,4448,152044,149003,142087,155251,146769,140109,138364,116023,92126,81397,70716,61508,49830,38532,25153,13898,11436
2025,PHL,Philippines,PH,REGION X (NORTHERN MINDANAO),PH100000000,Camiguin,PH101800000,46821,48654,95475,4765,4642,4468,4315,3913,3768,3606,2721,2267,2254,2167,2029,1800,1385,1072,759,890,5041,4774,4541,4536,4531,4411,3977,3082,2398,2261,2097,2034,1780,1316,850,551,474,9806,9416,9009,8851,8444,8179,7583,5803,4665,4515,4264,4063,3580,2701,1922,1310,1364
